wavenumber,intensity
400.00,0.756800
415.00,0.382928
430.00,0.271727
445.00,0.200794
460.00,0.294609
475.00,0.300586
490.00,0.167382
505.00,0.168344
520.00,0.290031
535.00,0.265294
550.00,0.175748
565.00,0.263548
580.00,0.378152
595.00,0.308293
610.00,0.251111
625.00,0.360736
640.00,0.396715
655.00,0.267004
670.00,0.240666
685.00,0.351776
700.00,0.342744
715.00,0.275545
730.00,0.423612
745.00,0.669197
760.00,0.743171
775.00,0.759249
790.00,0.863824
805.00,0.842349
820.00,0.607775
835.00,0.911928
850.00,0.496600
865.00,0.442736
880.00,0.294335
895.00,0.314907
910.00,0.437603
925.00,0.430057
940.00,0.454374
955.00,0.747904
970.00,1.124056
985.00,1.391085
1000.00,1.718359
1015.00,2.120411
1030.00,2.255527
1045.00,2.053262
1060.00,1.813301
1075.00,1.577860
1090.00,1.171193
1105.00,0.759525
1120.00,0.608572
1135.00,0.554282
1150.00,0.383543
1165.00,0.288159
1180.00,0.392517
1195.00,0.437498
1210.00,0.339562
1225.00,0.361442
1240.00,0.506010
1255.00,0.499760
1270.00,0.852883
1285.00,0.469507
1300.00,0.575107
1315.00,0.505109
1330.00,0.453492
1345.00,0.604404
1360.00,0.737685
1375.00,0.742778
1390.00,0.873240
1405.00,1.160751
1420.00,1.309358
1435.00,1.313203
1450.00,1.414394
1465.00,1.511061
1480.00,1.365132
1495.00,1.146796
1510.00,1.083138
1525.00,0.993384
1540.00,0.746448
1555.00,0.596674
1570.00,0.634275
1585.00,0.591429
1600.00,0.445629
1615.00,0.462817
1630.00,0.586570
1645.00,0.554380
1660.00,0.479235
1675.00,0.583700
1690.00,0.687164
1705.00,1.054533
1720.00,0.557098
1735.00,0.668823
1750.00,0.685790
1765.00,0.552252
1780.00,0.542185
1795.00,0.648294
1810.00,0.606522
1825.00,0.499264
1840.00,0.574131
1855.00,0.686570
1870.00,0.624424
1885.00,0.582012
1900.00,0.714288
1915.00,0.778954
1930.00,0.675988
1945.00,0.667864
1960.00,0.784301
1975.00,0.755911
1990.00,0.626421
2005.00,0.660519
2020.00,0.754194
2035.00,0.677385
2050.00,0.599700
2065.00,0.711135
2080.00,0.793438
2095.00,0.709778
2110.00,0.707769
2125.00,0.852777
2140.00,1.322334
2155.00,0.764369
2170.00,0.797330
2185.00,0.902743
2200.00,0.831874
