À­ÂüÎ»ÒÆ,Count
163.088,20925
168.063,27713
173.033,34404
177.997,40128
182.957,44636
187.91,48471
192.859,51628
197.801,54669
202.739,57844
207.671,61553
212.598,64931
217.52,68636
222.436,71612
227.347,74205
232.253,75583
237.153,76219
242.048,75746
246.938,74838
251.822,73824
256.701,72850
261.575,71778
266.444,71069
271.307,70255
276.165,69106
281.018,68361
285.865,67390
290.708,66642
295.545,65526
300.377,64123
305.204,62635
310.025,61394
314.842,60037
319.653,58865
324.459,57763
329.26,56674
334.055,56139
338.846,56103
343.631,55600
348.412,55174
353.187,54995
357.957,55177
362.722,55465
367.481,55505
372.236,55533
376.986,56085
381.73,56465
386.469,57108
391.204,57925
395.933,58902
400.657,60175
405.376,61650
410.09,63147
414.799,64722
419.503,66226
424.202,67664
428.896,68905
433.585,69979
438.269,70802
442.948,71362
447.622,72034
452.291,72537
456.955,72716
461.614,73227
466.268,73910
470.917,74399
475.561,75808
480.201,77257
484.835,78902
489.464,80696
494.089,82792
498.708,84229
503.323,85595
507.932,86964
512.537,88424
517.137,90035
521.732,91598
526.322,93081
530.907,95118
535.488,97226
540.063,98762
544.634,100587
549.2,101874
553.761,103185
558.317,104027
562.868,104477
567.415,104451
571.956,104479
576.493,104033
581.025,103803
585.553,103475
590.075,102997
594.593,103304
599.106,103301
603.614,103921
608.117,104260
612.616,105182
617.11,106228
621.599,106660
626.084,107511
630.564,108386
635.039,108854
639.509,109493
643.974,109579
648.435,109540
652.891,109070
657.343,108795
661.79,108696
666.232,108702
670.669,108613
675.102,108471
679.53,108424
683.954,108349
688.373,108317
692.787,108300
697.196,108138
701.601,108078
706.002,107627
710.397,107003
714.788,106329
719.175,106046
723.557,105337
727.934,105143
732.307,105016
736.675,105416
741.039,105530
745.398,105701
749.752,106474
754.102,106933
758.447,107582
762.788,107714
767.124,108025
771.456,108015
775.783,107753
780.106,107368
784.424,106746
788.738,106449
793.047,105823
797.351,105157
801.652,104604
805.947,104325
810.239,103939
814.525,103711
818.808,103809
823.085,103801
827.359,104236
831.628,104232
835.892,104501
840.152,104409
844.408,104615
848.659,104276
852.906,104193
857.148,103686
861.386,103583
865.62,103295
869.849,103285
874.073,103811
878.294,104170
882.51,104813
886.721,105467
890.929,106088
895.131,106693
899.33,107586
903.524,108123
907.714,108365
911.9,108611
916.081,108231
920.257,107897
924.43,107496
928.598,107327
932.762,107138
936.922,106483
941.077,106082
945.228,106009
949.375,106118
953.517,106275
957.655,106596
961.789,107253
965.919,107780
970.044,108876
974.165,109892
978.282,111403
982.394,112859
986.503,114118
990.607,116030
994.707,118376
998.802,121912
1002.89,127004
1006.98,134932
1011.06,146206
1015.14,160781
1019.22,181183
1023.29,210053
1027.35,246281
1031.42,284738
1035.47,313992
1039.53,322463
1043.58,302903
1047.62,260192
1051.66,212984
1055.7,177692
1059.73,156847
1063.76,144984
1067.79,137901
1071.81,133162
1075.82,130386
1079.84,127718
1083.84,126451
1087.85,126272
1091.85,126430
1095.84,127863
1099.84,129050
1103.82,130701
1107.81,132680
1111.79,133890
1115.76,134094
1119.73,133596
1123.7,132741
1127.67,131160
1131.62,129594
1135.58,128037
1139.53,126433
1143.48,125459
1147.42,124741
1151.36,124924
1155.3,125258
1159.23,125912
1163.15,126140
1167.08,125916
1171,124612
1174.91,123617
1178.82,122091
1182.73,120890
1186.63,119760
1190.53,118713
1194.43,118197
1198.32,117774
1202.2,117106
1206.09,116309
1209.97,116059
1213.84,115641
1217.71,115109
1221.58,114702
1225.44,114154
1229.3,113624
1233.16,113059
1237.01,112641
1240.86,112165
1244.7,112297
1248.54,112300
1252.38,112840
1256.21,113666
1260.04,114362
1263.87,114921
1267.69,115972
1271.5,116713
1275.32,117072
1279.12,118006
1282.93,119328
1286.73,119874
1290.53,120290
1294.32,120762
1298.11,120790
1301.9,121191
1305.68,121792
1309.46,122506
1313.23,123160
1317,124236
1320.77,125289
1324.53,126484
1328.29,128186
1332.05,129958
1335.8,131760
1339.55,133639
1343.29,135741
1347.03,136932
1350.77,138258
1354.5,138371
1358.23,138447
1361.96,137962
1365.68,137918
1369.4,137352
1373.11,137029
1376.82,136596
1380.53,136130
1384.23,136189
1387.93,136585
1391.62,137129
1395.31,137443
1399,137983
1402.69,139013
1406.37,139803
1410.04,140824
1413.72,141487
1417.39,142049
1421.05,142530
1424.71,143339
1428.37,144334
1432.03,145572
1435.68,147631
1439.33,151054
1442.97,156576
1446.61,165391
1450.25,177130
1453.88,186561
1457.51,188981
