À­ÂüÎ»ÒÆ,Count
163.088,33750
168.063,44440
173.033,54270
177.997,62539
182.957,69467
187.91,75274
192.859,80785
197.801,86192
202.739,92716
207.671,99767
212.598,106902
217.52,113477
222.436,118387
227.347,121576
232.253,122285
237.153,120769
242.048,118352
246.938,116225
251.822,114608
256.701,113162
261.575,112405
266.444,111077
271.307,110180
276.165,109431
281.018,108235
285.865,106757
290.708,105399
295.545,103319
300.377,101880
305.204,100369
310.025,98911
314.842,97769
319.653,96054
324.459,94361
329.26,92892
334.055,91400
338.846,90350
343.631,89429
348.412,88951
353.187,88582
357.957,88808
362.722,89038
367.481,89635
372.236,90297
376.986,91034
381.73,91522
386.469,92662
391.204,94044
395.933,95932
400.657,98396
405.376,101154
410.09,103107
414.799,105527
419.503,107762
424.202,109938
428.896,112364
433.585,114387
438.269,115941
442.948,117842
447.622,119362
452.291,120372
456.955,121551
461.614,123425
466.268,124333
470.917,124614
475.561,125155
480.201,125909
484.835,127894
489.464,130505
494.089,133190
498.708,136005
503.323,139070
507.932,142932
512.537,147313
517.137,151791
521.732,155607
526.322,158434
530.907,159165
535.488,161964
540.063,165251
544.634,164566
549.2,165003
553.761,167631
558.317,169291
562.868,166871
567.415,164958
571.956,165496
576.493,166776
581.025,166807
585.553,164850
590.075,161809
594.593,160259
599.106,160151
603.614,160525
608.117,162015
612.616,163290
617.11,165370
621.599,167238
626.084,168300
630.564,168674
635.039,168843
639.509,169261
643.974,169969
648.435,170354
652.891,169962
657.343,170247
661.79,169860
666.232,167864
670.669,167372
675.102,167712
679.53,167567
683.954,166803
688.373,167055
692.787,167169
697.196,166735
701.601,166582
706.002,167392
710.397,168207
714.788,171070
719.175,175761
723.557,181722
727.934,186789
732.307,185974
736.675,184299
741.039,183704
745.398,183634
749.752,184348
754.102,180987
758.447,181288
762.788,184372
767.124,186874
771.456,185054
775.783,179589
780.106,178479
784.424,183389
788.738,187857
793.047,181367
797.351,174383
801.652,173098
805.947,171732
810.239,172376
814.525,173441
818.808,173637
823.085,172939
827.359,173639
831.628,173478
835.892,171056
840.152,168955
844.408,167771
848.659,166090
852.906,164523
857.148,163459
861.386,162570
865.62,162673
869.849,163354
874.073,163845
878.294,164594
882.51,166443
886.721,168317
890.929,170270
895.131,171951
899.33,172693
903.524,172507
907.714,172055
911.9,171580
