À­ÂüÎ»ÒÆ,Count
163.088,32382
168.063,43058
173.033,52541
177.997,60881
182.957,67497
187.91,73512
192.859,78899
197.801,84466
202.739,90569
207.671,97685
212.598,104656
217.52,111392
222.436,116204
227.347,119280
232.253,120151
237.153,119066
242.048,116810
246.938,114685
251.822,113086
256.701,111693
261.575,110601
266.444,109786
271.307,108586
276.165,107955
281.018,106908
285.865,105424
290.708,103919
295.545,102085
300.377,100430
305.204,99056
310.025,97981
314.842,96437
319.653,94941
324.459,93263
329.26,91565
334.055,90224
338.846,89368
343.631,88369
348.412,87764
353.187,87622
357.957,87829
362.722,88286
367.481,88767
372.236,89338
376.986,89968
381.73,90674
386.469,91742
391.204,92979
395.933,94940
400.657,97281
405.376,99836
410.09,102020
414.799,104438
419.503,106432
424.202,109027
428.896,111040
433.585,113126
438.269,115042
442.948,116787
447.622,117932
452.291,119009
456.955,120412
461.614,122188
466.268,123123
470.917,123247
475.561,123787
480.201,124438
484.835,126485
489.464,129313
494.089,131996
498.708,134544
503.323,137479
507.932,141540
512.537,145527
517.137,150015
521.732,153957
526.322,156786
530.907,157420
535.488,160010
540.063,163410
544.634,163050
549.2,163082
553.761,165817
558.317,167484
562.868,165364
567.415,163598
571.956,164074
576.493,165463
581.025,165403
585.553,163312
590.075,160577
594.593,158759
599.106,158462
603.614,159272
608.117,160485
612.616,162027
617.11,164010
621.599,165729
626.084,166694
630.564,167019
635.039,167499
639.509,168122
643.974,168403
648.435,168807
652.891,168587
657.343,168950
661.79,168514
666.232,166557
670.669,166161
675.102,166369
679.53,166162
683.954,165747
688.373,165585
692.787,165793
697.196,165395
701.601,165303
706.002,165570
710.397,166566
714.788,169309
719.175,174089
723.557,179685
727.934,184596
732.307,184348
736.675,182418
741.039,181951
745.398,181581
749.752,182505
754.102,179570
758.447,179479
762.788,182379
767.124,184991
771.456,183383
775.783,177868
780.106,176838
784.424,181237
788.738,185561
793.047,179883
797.351,172563
801.652,171094
805.947,170124
810.239,170323
814.525,171493
818.808,172158
823.085,171384
827.359,171786
831.628,171667
835.892,169706
840.152,167394
844.408,166580
848.659,164646
852.906,162816
857.148,162143
861.386,161236
865.62,161174
869.849,161986
874.073,162370
878.294,163288
882.51,164787
886.721,166893
890.929,168997
895.131,170314
899.33,170847
903.524,170999
907.714,170548
911.9,169980
916.081,168856
920.257,167995
